Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
4,223.9,0,00:55.1,02:03.7,4.04,00:00.0,0,28,25,8.17,0,---,243,-60,5,40,10,293,533,512,66,39.9873,-75.2018
4,232.7,0,00:57.5,02:03.4,4.05,00:00.0,0,28,26,8.79,0,---,246,-59,5,40,9,299,533,514,67,39.9873,-75.2019
4,241.6,0,00:59.5,02:03.1,4.06,00:00.0,0,28,27,8.92,0,---,209,-58,7,40,11,251,457,509,64,39.9872,-75.2019
4,---,---,---,---,---,---,---,---,27,---,---,---,209,-58,7,40,11,251,457,509,64,---,---
5,6.7,0,00:01.6,02:03.4,4.05,00:00.0,0,28,1,6.65,0,---,227,-59,6,39,8,269,484,499,67,39.9871,-75.202
5,15.5,0,00:03.8,02:03.4,4.05,00:00.0,0,27,2,8.85,0,---,242,-60,6,40,6,283,530,532,67,39.9871,-75.2021
5,23.9,0,00:05.8,02:02.5,4.08,00:00.0,0,28,3,8.38,0,---,257,-61,5,39,8,303,548,536,69,39.987,-75.2021
5,33,0,00:08.0,02:02.5,4.08,00:00.0,0,28,4,9.1,0,---,239,-59,7,40,7,280,518,531,65,39.987,-75.2022
5,42,0,00:10.2,02:02.2,4.09,00:00.0,0,28,5,8.98,0,---,245,-60,4,40,7,284,529,534,66,39.9869,-75.2023
5,50.3,0,00:12.4,02:01.6,4.11,00:00.0,0,29,6,8.35,0,---,277,-61,6,40,8,315,582,538,69,39.9868,-75.2023
5,59.5,0,00:14.4,01:59.3,4.19,00:00.0,0,28,7,9.14,0,---,252,-60,5,41,12,287,523,505,65,39.9868,-75.2024
5,68.1,0,00:16.4,01:58.2,4.23,00:00.0,0,29,8,8.66,0,---,244,-59,5,41,10,284,505,505,65,39.9867,-75.2024
5,76.8,0,00:18.6,01:57.9,4.24,00:00.0,0,29,9,8.72,0,---,246,-61,6,41,7,264,524,515,66,39.9866,-75.2025
5,86.2,0,00:20.6,01:54.9,4.35,00:00.0,0,29,10,9.39,0,---,230,-58,5,39,10,246,462,503,67,39.9866,-75.2025
5,95,0,00:22.6,01:55.4,4.33,00:00.0,0,29,11,8.77,0,---,247,-60,7,40,10,266,519,499,65,39.9865,-75.2026
5,104.3,0,00:24.8,01:56.5,4.29,00:00.0,0,29,12,9.3,0,---,260,-61,2,39,10,296,540,481,41,39.9864,-75.2027
5,112.8,0,00:26.8,01:56.0,4.31,00:00.0,0,29,13,8.46,0,---,262,-61,4,40,13,302,544,487,43,39.9864,-75.2027
5,121.8,0,00:29.0,01:59.3,4.19,00:00.0,0,28,14,9.02,0,---,273,-61,3,40,10,309,565,520,67,39.9863,-75.2028
