index,index, AverageDriveForce (lbs), Cadence (stokes/min), DragFactor, DriveLength (meters), DriveTime (ms), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
42,42,0.0,18.0,0.0,0.0,0.0,43.0,142.0,0.0,0.0,0.0,10000.0,0.00648908169645,0.0,0.0,49.240004,16.511673,1459588551.0,0.05,0.0,0.0,1.0,4.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
43,43,0.0,18.0,0.0,0.0,0.0,44.0,142.0,0.0,0.0,0.0,10000.0,0.00793109985121,0.0,0.0,49.240004,16.511673,1459588552.0,0.05,0.0,0.0,1.0,4.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
44,44,0.0,18.0,0.0,0.0,0.0,45.0,142.0,0.0,0.0,0.0,10000.0,0.00969356648482,0.0,0.0,49.240004,16.511673,1459588553.0,0.05,0.0,0.0,1.0,4.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
45,45,0.0,18.0,0.0,0.0,0.0,46.0,142.0,0.0,0.0,0.0,10000.0,0.0118476923703,0.0,0.0,49.240004,16.511673,1459588554.0,0.05,0.0,0.0,1.0,4.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
46,46,0.0,18.0,0.0,0.0,0.0,47.0,142.0,0.0,0.0,0.0,10000.0,0.0144805128971,0.0,0.0,49.240004,16.511673,1459588555.0,0.05,0.0,0.0,1.0,4.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
47,47,0.0,18.0,0.0,0.0,0.0,48.0,142.0,0.0,0.0,0.0,10000.0,0.017698404652,0.0,0.0,49.240004,16.511673,1459588556.0,0.05,0.0,0.0,1.0,4.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
48,48,0.0,18.0,0.0,0.0,0.0,49.0,142.0,0.0,0.0,0.0,10000.0,0.0216313834635,0.0,0.0,49.240004,16.511673,1459588557.0,0.05,0.0,0.0,1.0,4.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
49,49,0.0,18.0,0.0,0.0,0.0,50.0,142.0,0.0,0.0,0.0,10000.0,0.0264383575665,0.0,0.0,49.240004,16.511673,1459588558.0,0.05,0.0,0.0,1.0,4.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
50,50,0.0,18.0,0.0,0.0,0.0,51.0,142.0,0.0,0.0,0.0,10000.0,0.0323135481369,0.0,0.0,49.240004,16.511673,1459588559.0,0.05,0.0,0.0,1.0,4.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
51,51,0.0,18.0,0.0,0.0,0.0,52.0,142.0,0.0,0.0,0.0,10000.0,0.0394943366117,0.0,0.0,49.240004,16.511673,1459588560.0,0.05,0.0,0.0,1.0,4.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
52,52,0.0,18.0,0.0,0.0,0.0,53.0,142.0,0.0,0.0,0.0,10000.0,0.0482708558588,0.0,0.0,49.240004,16.511673,1459588561.0,0.05,0.0,0.0,1.0,4.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
53,53,0.0,18.0,0.0,0.0,0.0,54.0,142.0,0.0,0.0,0.0,10000.0,0.0589977127163,0.0,0.0,49.240004,16.511673,1459588562.0,0.05,0.0,0.0,1.0,4.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
54,54,0.0,18.0,0.0,0.0,0.0,55.0,142.0,0.0,0.0,0.0,10000.0,0.0721083155421,0.0,0.0,49.240004,16.511673,1459588563.0,0.05,0.0,0.0,1.0,4.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
55,55,0.0,18.0,0.0,0.0,0.0,56.0,142.0,0.0,0.0,0.0,10000.0,0.0881323856626,0.0,0.0,49.240004,16.511673,1459588564.0,0.05,0.0,0.0,1.0,4.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
56,56,0.0,18.0,0.0,0.0,0.0,57.0,142.0,0.0,0.0,0.0,10000.0,0.107717360254,0.0,0.0,49.240004,16.511673,1459588565.0,0.05,0.0,0.0,1.0,4.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
