Total elapsed time,Total distance,Stroke rate (/min),Speed (m/s),Current heart rate (bpm),Interval type,Workout state,Rowing state,Stroke count,Stroke state,Total work distance,Piece duration,Piece distance,Drag factor,Current pace (/500m),Average pace (/500m),Rest distance,Rest time,Interval count,Total average power (W),Total average calories (cal),Split average pace (/500m),Split average power (W),Split average calories (cal/hr),Last split time,Last split distance
1:27.6,273 m,17,3.2,119,Time,Running,Active,26,Recovery,0 m,0:00.0,0 m,105,2:36.6,2:40.2,0 m,0:00,1,85,14,2:40.2,85,14,0:00.0,0 m
1:28.6,276 m,17,3.2,118,Time,Running,Active,26,Recovery,0 m,0:00.0,0 m,105,2:36.6,2:40.2,0 m,0:00,1,85,14,2:40.2,85,14,0:00.0,0 m
1:29.6,280 m,17,3.2,118,Time,Running,Active,26,Dwelling,0 m,0:00.0,0 m,105,2:36.6,2:40.2,0 m,0:00,1,85,14,2:40.2,85,14,0:00.0,0 m
1:30.6,283 m,18,3.2,118,Time,Running,Active,27,Recovery,0 m,0:00.0,0 m,105,2:35.3,2:40.0,0 m,0:00,1,86,14,2:40.0,86,14,0:00.0,0 m
1:31.6,286 m,18,3.2,118,Time,Running,Active,27,Recovery,0 m,0:00.0,0 m,105,2:35.3,2:40.0,0 m,0:00,1,86,14,2:40.0,86,14,0:00.0,0 m
1:32.6,289 m,18,3.2,118,Time,Running,Active,27,Driving,0 m,0:00.0,0 m,105,2:35.3,2:40.0,0 m,0:00,1,86,14,2:40.0,86,14,0:00.0,0 m
1:33.6,293 m,18,3.2,119,Time,Running,Active,28,Recovery,0 m,0:00.0,0 m,105,2:35.3,2:40.0,0 m,0:00,1,86,14,2:40.0,86,14,0:00.0,0 m
1:34.6,296 m,18,3.2,118,Time,Running,Active,28,Recovery,0 m,0:00.0,0 m,105,2:34.6,2:39.8,0 m,0:00,1,86,15,2:39.8,86,15,0:00.0,0 m
1:35.6,299 m,18,3.2,118,Time,Running,Active,28,Recovery,0 m,0:00.0,0 m,105,2:34.6,2:39.8,0 m,0:00,1,86,15,2:39.8,86,15,0:00.0,0 m
1:36.7,303 m,18,3.2,118,Time,Running,Active,29,Recovery,0 m,0:00.0,0 m,105,2:34.6,2:39.8,0 m,0:00,1,86,15,2:39.8,86,15,0:00.0,0 m
1:37.7,306 m,17,3.3,121,Time,Running,Active,29,Recovery,0 m,0:00.0,0 m,105,2:33.8,2:39.5,0 m,0:00,1,86,16,2:39.5,86,16,0:00.0,0 m
1:38.7,309 m,17,3.3,121,Time,Running,Active,29,Recovery,0 m,0:00.0,0 m,105,2:33.8,2:39.5,0 m,0:00,1,86,16,2:39.5,86,16,0:00.0,0 m
1:39.7,312 m,17,3.3,121,Time,Running,Active,29,Driving,0 m,0:00.0,0 m,105,2:33.8,2:39.5,0 m,0:00,1,86,16,2:39.5,86,16,0:00.0,0 m
1:40.7,316 m,17,3.3,121,Time,Running,Active,30,Recovery,0 m,0:00.0,0 m,105,2:33.8,2:39.5,0 m,0:00,1,86,16,2:39.5,86,16,0:00.0,0 m
1:41.7,319 m,18,3.3,121,Time,Running,Active,30,Recovery,0 m,0:00.0,0 m,105,2:30.8,2:39.2,0 m,0:00,1,87,16,2:39.2,87,16,0:00.0,0 m
1:42.7,323 m,18,3.3,120,Time,Running,Active,30,Driving,0 m,0:00.0,0 m,105,2:30.8,2:39.2,0 m,0:00,1,87,16,2:39.2,87,16,0:00.0,0 m
1:43.7,327 m,18,3.3,118,Time,Running,Active,31,Recovery,0 m,0:00.0,0 m,105,2:30.8,2:39.2,0 m,0:00,1,87,16,2:39.2,87,16,0:00.0,0 m
1:44.7,330 m,20,3.4,117,Time,Running,Active,31,Recovery,0 m,0:00.0,0 m,105,2:26.3,2:38.8,0 m,0:00,1,88,17,2:38.8,88,17,0:00.0,0 m
1:45.7,333 m,20,3.4,118,Time,Running,Active,31,Driving,0 m,0:00.0,0 m,105,2:26.3,2:38.8,0 m,0:00,1,88,17,2:38.8,88,17,0:00.0,0 m
1:46.7,337 m,20,3.4,118,Time,Running,Active,32,Recovery,0 m,0:00.0,0 m,105,2:26.3,2:38.8,0 m,0:00,1,88,17,2:38.8,88,17,0:00.0,0 m
1:47.7,340 m,18,3.5,118,Time,Running,Active,32,Recovery,0 m,0:00.0,0 m,105,2:25.4,2:38.3,0 m,0:00,1,88,17,2:38.3,88,17,0:00.0,0 m
1:48.7,344 m,18,3.5,118,Time,Running,Active,32,Driving,0 m,0:00.0,0 m,105,2:25.4,2:38.3,0 m,0:00,1,88,17,2:38.3,88,17,0:00.0,0 m
1:49.7,347 m,18,3.5,118,Time,Running,Active,33,Recovery,0 m,0:00.0,0 m,105,2:25.4,2:38.3,0 m,0:00,1,88,17,2:38.3,88,17,0:00.0,0 m
1:50.7,351 m,19,3.4,118,Time,Running,Active,33,Recovery,0 m,0:00.0,0 m,105,2:26.2,2:37.9,0 m,0:00,1,89,18,2:37.9,89,18,0:00.0,0 m
1:51.7,354 m,19,3.4,118,Time,Running,Active,33,Recovery,0 m,0:00.0,0 m,105,2:26.2,2:37.9,0 m,0:00,1,89,18,2:37.9,89,18,0:00.0,0 m
1:52.7,357 m,19,3.4,119,Time,Running,Active,33,Driving,0 m,0:00.0,0 m,105,2:26.2,2:37.9,0 m,0:00,1,89,18,2:37.9,89,18,0:00.0,0 m
1:53.7,361 m,19,3.4,119,Time,Running,Active,34,Recovery,0 m,0:00.0,0 m,105,2:26.2,2:37.9,0 m,0:00,1,89,18,2:37.9,89,18,0:00.0,0 m
1:54.7,364 m,17,3.4,118,Time,Running,Active,34,Recovery,0 m,0:00.0,0 m,105,2:29.1,2:37.6,0 m,0:00,1,89,19,2:37.6,89,19,0:00.0,0 m
1:55.7,367 m,17,3.4,119,Time,Running,Active,34,Driving,0 m,0:00.0,0 m,105,2:29.1,2:37.6,0 m,0:00,1,89,19,2:37.6,89,19,0:00.0,0 m
1:56.7,371 m,17,3.4,120,Time,Running,Active,35,Recovery,0 m,0:00.0,0 m,105,2:29.1,2:37.6,0 m,0:00,1,89,19,2:37.6,89,19,0:00.0,0 m
1:57.7,374 m,18,3.3,117,Time,Running,Active,35,Recovery,0 m,0:00.0,0 m,105,2:30.4,2:37.4,0 m,0:00,1,90,19,2:37.4,90,19,0:00.0,0 m
1:58.7,377 m,18,3.3,117,Time,Running,Active,35,Recovery,0 m,0:00.0,0 m,105,2:30.4,2:37.4,0 m,0:00,1,90,19,2:37.4,90,19,0:00.0,0 m
1:59.8,381 m,18,3.3,117,Time,Running,Active,36,Recovery,0 m,0:00.0,0 m,105,2:30.4,2:37.4,0 m,0:00,1,90,19,2:37.4,90,19,0:00.0,0 m
2:00.7,384 m,18,3.4,117,Time,Running,Active,36,Recovery,0 m,0:00.0,0 m,105,2:29.6,2:37.1,0 m,0:00,1,90,20,2:37.1,90,20,0:00.0,0 m
2:01.8,387 m,18,3.4,119,Time,Running,Active,36,Recovery,0 m,0:00.0,0 m,105,2:29.6,2:37.1,0 m,0:00,1,90,20,2:37.1,90,20,0:00.0,0 m
2:02.8,391 m,18,3.4,120,Time,Running,Active,36,Dwelling,0 m,0:00.0,0 m,105,2:29.6,2:37.1,0 m,0:00,1,90,20,2:37.1,90,20,0:00.0,0 m
2:03.8,394 m,18,3.3,120,Time,Running,Active,37,Recovery,0 m,0:00.0,0 m,105,2:31.6,2:37.0,0 m,0:00,1,91,20,2:37.0,91,20,0:00.0,0 m
2:04.8,397 m,18,3.3,120,Time,Running,Active,37,Driving,0 m,0:00.0,0 m,105,2:31.6,2:37.0,0 m,0:00,1,91,20,2:37.0,91,20,0:00.0,0 m
2:05.8,401 m,18,3.3,121,Time,Running,Active,38,Recovery,0 m,0:00.0,0 m,105,2:31.6,2:37.0,0 m,0:00,1,91,20,2:37.0,91,20,0:00.0,0 m
2:06.8,404 m,23,3.4,121,Time,Running,Active,38,Recovery,0 m,0:00.0,0 m,105,2:28.4,2:36.8,0 m,0:00,1,91,21,2:36.8,91,21,0:00.0,0 m
2:07.8,408 m,23,3.4,121,Time,Running,Active,38,Driving,0 m,0:00.0,0 m,105,2:28.4,2:36.8,0 m,0:00,1,91,21,2:36.8,91,21,0:00.0,0 m
