Stroke (#),Second (#),Distance (m),Work (J),Actual power (W),Average power (W),Actual split (s),Average split (s),Stroke rate (SPM),Heart rate (bpm)
357,1129,3363,276.2,87,90.3,159,157,20.4,124
358,1132,3372,262.1,93,90.3,155,157,20.2,124
359,1135,3382,273.2,89,90.3,157,157,20.4,124
360,1137,3389,260.5,93,90.3,155,157,20.4,124
361,1140,3398,259.4,89,90.3,157,157,20.4,124
362,1143,3408,282.7,91,90.3,156,157,21.1,124
363,1146,3418,272.6,95,90.3,154,157,20.2,124
364,1149,3427,271.0,92,90.3,156,157,20.2,123
365,1152,3437,266.2,92,90.3,156,157,20.4,123
366,1155,3446,290.9,93,90.3,155,157,20.9,123
367,1158,3456,277.2,101,90.3,151,157,20.9,123
368,1161,3465,253.0,95,90.4,154,157,20.4,124
369,1164,3475,288.9,86,90.4,159,157,20.4,124
370,1167,3485,277.7,97,90.4,153,157,20.1,124
371,1170,3494,263.2,94,90.4,154,157,20.2,124
372,1173,3504,262.8,90,90.4,157,157,20.4,124
373,1175,3511,281.6,94,90.4,154,157,21.3,123
374,1178,3521,257.7,96,90.4,153,157,20.4,123
375,1181,3530,280.1,89,90.4,157,157,20.7,123
376,1184,3540,289.8,99,90.4,152,157,21.2,122
377,1187,3550,269.0,98,90.4,152,157,20.2,122
378,1190,3559,278.8,92,90.4,156,157,20.4,123
379,1193,3569,286.1,95,90.4,154,157,20.4,123
380,1196,3579,278.4,97,90.5,153,157,20.4,123
381,1199,3588,265.8,94,90.5,154,157,20.3,123
382,1202,3598,278.9,91,90.5,156,157,20.5,121
383,1205,3607,287.7,97,90.5,153,157,20.8,122
384,1208,3617,273.2,99,90.5,152,157,20.6,123
385,1211,3627,284.0,92,90.5,156,157,20.2,123
386,1214,3637,270.3,95,90.5,154,157,20.0,123
387,1216,3644,269.2,91,90.5,156,157,20.2,123
388,1219,3654,328.1,93,90.5,155,157,20.6,123
389,1222,3664,290.9,112,90.6,146,157,20.5,125
390,1225,3673,291.8,97,90.6,153,157,20.0,124
391,1228,3683,283.9,98,90.6,152,157,20.1,124
392,1231,3693,285.2,97,90.7,153,157,20.4,123
393,1234,3703,292.6,97,90.7,153,157,20.3,124
394,1237,3712,286.9,100,90.7,151,157,20.4,124
395,1240,3722,290.4,97,90.7,153,157,20.2,124
396,1243,3732,291.6,97,90.7,153,157,20.0,123
