index,Stroke #,TimeStamp (sec), Horizontal (meters), Stroke500mPace (sec/500m), Power (watts), Cadence (stokes/min), DragFactor, DriveLength (meters), HRCur (bpm),Work (J), PeakDriveForce (lbs), AverageDriveForce (lbs), DriveTime (ms), StrokeRecoveryTime (ms), StrokeDistance (meters), ElapsedTime (sec), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), lapIdx, Calories (kCal), WorkoutState,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
51,52,1619444418.5,552.2,133.5,147.0,19.0,107.0,1.42,109.0,461.9,125.89305385075379,81.20101973373619,790.0,2090.0,11.7,166.5,3.745318352059925,361.2,560.0,0,1.0,4.0,464.2105263157895,109.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,552.2,0.0,147.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
52,53,1619444421.6,563.7,133.3,147.9,19.0,106.0,1.45,108.0,460.8,132.70476730017847,83.0894155414975,800.0,2080.0,11.6,169.6,3.750937734433608,369.6,590.3,0,1.0,4.0,467.05263157894734,108.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,563.7,0.0,147.9,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
53,54,1619444424.6,575.2,132.4,150.9,20.0,107.0,1.36,106.0,461.2,123.19534555395191,81.69559958814986,750.0,2110.0,11.4,172.6,3.7764350453172204,363.4,548.0,0,1.0,4.0,452.7,106.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,575.2,0.0,150.9,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
54,55,1619444427.7,586.9,133.5,147.1,19.0,107.0,1.42,105.0,458.9,131.40087495672427,84.10105615279821,790.0,2130.0,11.6,175.7,3.745318352059925,374.1,584.5,0,1.0,4.0,464.5263157894737,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,586.9,0.0,147.1,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
55,56,1619444430.8,598.7,132.5,150.6,19.0,107.0,1.45,104.0,475.0,126.41011460764079,83.80880442064466,800.0,2120.0,11.8,178.8,3.7735849056603774,372.8,562.3,0,1.0,4.0,475.57894736842104,104.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,598.7,0.0,150.6,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
56,57,1619444433.9,610.2,132.2,151.4,20.0,107.0,1.36,103.0,468.1,128.59076214755564,84.10105615279821,750.0,2120.0,11.6,181.9,3.782148260211801,374.1,571.9999999999999,0,1.0,4.0,454.2,103.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,610.2,0.0,151.4,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
57,58,1619444437.0,621.8,132.8,149.6,20.0,106.0,1.39,102.0,464.5,131.31095134683088,85.60727661851257,770.0,2100.0,11.6,185.0,3.765060240963855,380.8,584.1,0,1.0,4.0,448.8,102.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,621.8,0.0,149.6,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
58,59,1619444440.0,633.5,132.3,151.2,20.0,107.0,1.39,102.0,467.8,128.09618229314196,83.49407178601777,770.0,2130.0,11.6,188.0,3.7792894935752077,371.4,569.8,0,1.0,4.0,453.6,102.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,633.5,0.0,151.2,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
59,60,1619444443.1,645.2,132.7,149.9,19.0,106.0,1.42,102.0,470.4,133.19934715459218,84.91036864183876,780.0,2160.0,11.7,191.1,3.7678975131876418,377.7,592.5,0,1.0,4.0,473.36842105263156,102.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,645.2,0.0,149.9,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
60,61,1619444446.2,657.0,132.5,150.6,19.0,107.0,1.36,104.0,472.0,129.10782290444266,84.10105615279821,750.0,2080.0,11.7,194.2,3.7735849056603774,374.1,574.3,0,1.0,4.0,475.57894736842104,104.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,657.0,0.0,150.6,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
