index,index,TimeStamp (sec),DistanceMeters, Cadence (stokes/min), lapIdx, WorkoutState, Horizontal (meters), Stroke500mPace (sec/500m), ElapsedTime (sec), HRCur (bpm), Power (watts), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
45,45,1606255124.7280002,6.3,25.0,1.0,4.0,6.3,inf,205.82800006866455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,40.8,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
46,46,1606255126.9959998,8.3,23.0,1.0,4.0,8.3,inf,208.0959997177124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,42.8,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
47,47,1606255129.618,8.3,24.0,1.0,4.0,8.3,inf,210.71799993515015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,42.8,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
48,48,1606255132.328,7.5,24.0,1.0,4.0,7.5,inf,213.42799997329712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,42.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
49,49,1606255134.638,3.9,24.0,1.0,4.0,3.9,inf,215.73799991607666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,45.9,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
50,50,1606255137.052,9.2,22.0,1.0,4.0,9.2,inf,218.15199995040894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,51.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
51,51,1606255140.87,6.1,22.0,1.0,4.0,6.1,inf,221.96999979019165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,48.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
52,52,1606255143.1680002,7.7,23.0,1.0,4.0,7.7,inf,224.268000125885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,49.699999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
53,53,1606255145.63,8.9,23.0,1.0,4.0,8.9,inf,226.7300000190735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,50.9,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
54,54,1606255148.882,9.1,22.0,1.0,4.0,9.1,inf,229.981999874115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,51.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
55,55,1606255151.566,6.2,23.0,1.0,4.0,6.2,inf,232.66599988937378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,48.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
56,56,1606255154.012,8.1,23.0,1.0,4.0,8.1,inf,235.1119999885559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,50.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
57,57,1606255156.4439998,8.3,24.0,1.0,4.0,8.3,inf,237.54399967193604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,50.3,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
58,58,1606255159.5419998,8.7,22.0,1.0,4.0,8.7,inf,240.6419997215271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,50.699999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
59,59,1606255162.75,7.8,21.0,1.0,4.0,7.8,inf,243.84999990463257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,49.8,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
60,60,1606255165.052,6.3,24.0,1.0,4.0,6.3,inf,246.15199995040894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,48.3,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
61,61,1606255167.7080002,9.1,22.0,1.0,4.0,9.1,inf,248.80800008773804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,51.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
62,62,1606255170.738,6.8,20.0,1.0,4.0,6.8,inf,251.83799982070923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,48.8,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
