index,index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), longitude,TimeStamp (sec), ElapsedTime (sec), DragFactor, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), lapIdx, Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
42,42,0.0,20.0,0.0,0.0,109.0,104.57952631199652,0.0,0.0,169.6604766220839,8.577899285032446,0.0,16.512221,1458984849.0,44.0,0.0,2.9470623326948577,0.0,0.0,0,1.0,4.0,16,0.0,109.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,104.57952631199652,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
43,43,0.0,19.0,0.0,0.0,112.0,107.68515507697636,0.0,0.0,178.50734159727892,8.638616739817722,0.0,16.512184,1458984850.0,45.0,0.0,2.8010052445239135,0.0,0.0,0,1.0,4.0,16,0.0,112.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,107.68515507697636,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
44,44,0.0,19.0,0.0,0.0,112.0,110.79078318278074,0.0,0.0,179.2245896226169,9.055157153124387,0.0,16.512147,1458984851.0,46.0,0.0,2.789795758789694,0.0,0.0,0,1.0,4.0,17,0.0,112.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,110.79078318278074,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
45,45,0.0,19.0,0.0,0.0,112.0,113.2231342065654,0.0,0.0,172.50166667349467,8.805473228395243,0.0,16.512119,1458984852.0,47.0,0.0,2.8985227194725205,0.0,0.0,0,1.0,4.0,17,0.0,112.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,113.2231342065654,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
46,46,0.0,19.0,0.0,0.0,112.0,116.21075475285,0.0,0.0,179.31431139094028,8.841475190521516,0.0,16.512083,1458984853.0,48.0,0.0,2.7883998556584935,0.0,0.0,0,1.0,4.0,17,0.0,112.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,116.21075475285,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
47,47,0.0,19.0,0.0,0.0,112.0,119.07213990935914,0.0,0.0,178.58415415945063,9.225528781704856,0.0,16.512049,1458984854.0,49.0,0.0,2.79980047699848,0.0,0.0,0,1.0,4.0,17,0.0,112.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,119.07213990935914,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
48,48,0.0,19.0,0.0,0.0,112.0,121.62715435526884,0.0,0.0,171.1497959393138,8.874830480340064,0.0,16.512019,1458984855.0,50.0,0.0,2.9214174475398713,0.0,0.0,0,1.0,4.0,18,0.0,112.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,121.62715435526884,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
49,49,0.0,19.0,0.0,0.0,114.0,124.78978556777317,0.0,0.0,177.9129609200773,9.026419628842504,0.0,16.511983,1458984856.0,51.0,0.0,2.8103629854410204,0.0,0.0,0,1.0,4.0,18,0.0,114.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,124.78978556777317,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
50,50,0.0,19.0,0.0,0.0,114.0,127.83022144426477,0.0,0.0,174.92510135201056,9.563746569132292,0.0,16.511948,1458984857.0,52.0,0.0,2.8583662158001264,0.0,0.0,0,1.0,4.0,18,0.0,114.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,127.83022144426477,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
51,51,0.0,19.0,0.0,0.0,114.0,130.2625696800551,0.0,0.0,167.0749193008783,9.274475841522,0.0,16.51192,1458984858.0,53.0,0.0,2.9926694089827492,0.0,0.0,0,1.0,4.0,19,0.0,114.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,130.2625696800551,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
